Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
"2-Bedrooms, 1-Toilet & Bath, Balcony & Lanai @ Cabuyao Laguna",5251031,Marinig,Cabuyao,Vanessa Pacayra,2,52,100,121.152656,14.2696017
House and Lot for Sale in The Hamptons Caliraya,16000000,Caliraya,Lumban,Hermie Oriel,3,163,215,121.558911,14.306164
"4 Bedroom House and Lot for Sale in Kingfisher St., Treveia Nuvali, Laguna",27000000,Canlubang,Calamba,See A Broker,4,250,254,121.0533622,14.1857173
Townhouse for Sale at The Hamptons Caliraya Cavinte Laguna,13000000,Kanluran Talaongan,Cavinti,Hermie Oriel,3,126,142,121.5156341,14.2815911
"4 Bedroom House and Lot for Sale in Kingfisher St., Treveia Nuvali, Laguna",27000000,Canlubang,Calamba,Licensed Broker,4,250,254,121.0533622,14.1857173
"HOUSE AND LOT FOR SALE IN CARMEL RIDGE RESIDENTIAL ESTATE, CALAMBA, LAGUNA",10000000,Milagrosa (Tulo),Calamba,BENCHMARK REALTY,4,190,150,121.1395358,14.1720168
"4 Bedroom House & Lot For Sale in Avida Woodhill Settings Nuvali, Venare Nuvali",14500000,Canlubang,Calamba,Brian Edward Sepe,4,296,192,121.0533622,14.1857173
"255 sqm Lot w/ 5 Brand New 5 Bedrooms in Venare Nuvali, laguna City",36000000,Canlubang,Calamba,Raphael Esguerra,5,370,255,121.0533622,14.1857173
"4 Bedroom House and Lot for Sale in Kingfisher St., Treveia Nuvali, Laguna",27000000,Canlubang,Calamba,Licensed Broker,4,250,254,121.0533622,14.1857173
House & Lot for sale with 450 sqm lot area,6500000,San Ignacio,San Pablo,Melba Panoy,3,200,450,121.3477927,14.0568397
